id,address,postcode,monthlyRentPence,region,capacity,tenancyEndDate
p_1002,11 Fielding Road,FK71 6GH,158800,N.IRELAND,4,2024-07-01
p_1003,120 Hazelwood Street,IV78 9QR,123600,N.IRELAND,3,2029-09-13
p_1004,124 Maple Crescent,EH96 9EF,212500,WALES,1,2028-01-08
p_1005,98 Pine Road,EH60 5OP,190800,ENGLAND,3,2027-10-08
p_1006,115 Foxglove Lane,IV85 0ST,77400,N.IRELAND,2,2028-11-02
p_1007,75 Fir Avenue,ML22 3ST,130100,ENGLAND,5,2028-09-21
p_1008,82 Sycamore Way,BT57 9UV,239700,SCOTLAND,5,2029-01-03
p_1009,19 Dogwood Avenue,IV12 4AB,174300,ENGLAND,2,2026-10-05
p_1010,137 Clover Avenue,G88 1ST,131500,ENGLAND,3,2025-12-04
p_1011,101 Glenview Drive,IV88 1CD,208900,ENGLAND,5,2025-12-13
p_1012,72 Elmwood Avenue,FK75 6YZ,154800,WALES,2,2027-05-10
p_1013,75 Ash Court,BT48 0OP,295700,ENGLAND,4,2028-04-23
p_1014,185 Churchill Drive,G78 0QR,88100,N.IRELAND,7,2027-01-14
p_1015,39 Sunset Boulevard,EH68 5EF,260500,ENGLAND,2,2025-10-29
p_1016,70 Redwood Road,BT65 2ST,255300,ENGLAND,2,2027-09-01
p_1017,94 Juniper Street,FK63 7EF,124600,N.IRELAND,4,2023-02-19
p_1018,151 Cypress Avenue,AB49 1CD,92500,ENGLAND,2,2027-12-02
p_1019,57 Northwood Close,TN1 1AA,230400,ENGLAND,5,2029-01-17
p_1020,175 Hilltop Drive,G82 3OP,251500,WALES,1,2029-02-12
p_1021,14 Spruce Avenue,AB56 8EF,201600,WALES,4,2029-01-11
p_1022,189 Fir Crescent,G73 0QR,136000,ENGLAND,5,2026-12-04
p_1023,94 Laurel Street,BT21 0AA,95300,ENGLAND,3,2028-07-08
p_1024,137 Linden Lane,IV7 8AA,80900,ENGLAND,6,2028-10-01
p_1025,66 Park Lane,B15 2T,108400,ENGLAND,5,2025-11-28
p_1026,50 Cherry Lane,AB56 5GH,186500,WALES,2,2027-03-02
p_1027,159 Rowan Crescent,AB21 9XY,102700,ENGLAND,7,2028-07-12
p_1028,60 Poplar Street,EH57 2GH,167600,ENGLAND,2,2025-08-30
p_1029,143 Alder Crescent,G33 2GH,160700,ENGLAND,5,2027-05-11
p_1030,131 Birch Grove,BT48 4ST,97800,ENGLAND,6,2025-04-17
p_1031,156 Meadow Drive,EH57 7IJ,192500,SCOTLAND,1,2023-11-23
p_1032,192 Cherry Court,FK84 3AB,109800,SCOTLAND,5,2028-12-27
p_1033,179 Peachtree Lane,EH48 0YZ,147200,WALES,5,2026-01-29
p_1034,36 Chestnut Drive,IV83 2AB,192100,ENGLAND,4,2026-12-20
p_1035,81 Riverbank Road,EH10 4AA,220700,ENGLAND,7,2024-06-10
p_1036,6 Magnolia Court,BT56 3UV,268900,N.IRELAND,4,2026-03-29
p_1037,26 Ivy Cottage,IV91 9CD,102900,N.IRELAND,4,2027-11-16
p_1038,51 Hampton Road,IV88 8WX,291700,ENGLAND,3,2027-06-10
p_1039,57 Vicarage Road,KY39 3QR,135100,ENGLAND,4,2028-05-19
p_1040,181 Elm Drive,ML36 6YZ,51100,N.IRELAND,3,2029-05-08
p_1041,150 Mulberry Street,KY29 1IJ,239500,WALES,5,2027-08-14
p_1042,175 Pine Crescent,EH16 6NZ,119800,ENGLAND,1,2025-12-23
p_1043,139 Dove Street,BT63 0WX,230700,ENGLAND,5,2029-05-24
p_1044,70 Daisy Street,AB50 2EF,125000,WALES,6,2026-07-29
p_1045,52 Holly Way,G3 7SL,73100,ENGLAND,2,2027-07-28
